transaction_id,customer_id,date,category,units,unit_price,discount_pct,revenue,region,channel
T00001,C1489,2022-01-01,Software,17,1310.09,19.0,18039.94,East,Digital
T00002,C0840,2022-01-01,Electronics,3,568.08,25.8,1264.55,West,Digital
T00003,C1968,2022-01-01,Consumables,1,1633.87,14.0,1405.13,West,Direct
T00004,C0385,2022-01-02,Services,9,894.48,0.8,7985.92,West,Digital
T00005,C0016,2022-01-02,Software,2,1618.65,19.7,2599.55,East,Digital
T00006,C1597,2022-01-02,Software,2,860.24,29.0,1221.54,North,Partner
T00007,C1725,2022-01-03,Hardware,9,1236.92,27.9,8026.37,West,Digital
T00008,C1827,2022-01-03,Consumables,8,214.96,4.6,1640.57,West,Partner
T00009,C1980,2022-01-03,Services,3,194.01,14.7,496.47,East,Digital
T00010,C0630,2022-01-04,Services,19,1906.41,26.2,26731.68,West,Digital
T00011,C1358,2022-01-04,Software,4,1454.87,12.5,5092.04,North,Direct
T00012,C0059,2022-01-05,Hardware,4,353.66,15.5,1195.37,West,Digital
T00013,C0835,2022-01-05,Hardware,16,1199.49,29.9,13453.48,North,Partner
T00014,C1796,2022-01-05,Electronics,14,1564.58,14.5,18728.02,East,Direct
T00015,C1269,2022-01-06,Services,7,1201.43,5.7,7930.64,East,Direct
T00016,C1690,2022-01-06,Consumables,5,902.41,1.2,4457.91,West,Digital
T00017,C1893,2022-01-06,Software,18,1672.14,13.8,25944.92,East,Digital
T00018,C1594,2022-01-07,Services,1,111.04,15.4,93.94,East,Digital
T00019,C1375,2022-01-07,Hardware,13,1270.34,27.6,11956.44,South,Digital
T00020,C0713,2022-01-07,Electronics,2,951.29,23.8,1449.77,South,Digital
T00021,C1064,2022-01-08,Services,1,1299.85,1.9,1275.15,South,Direct
T00022,C0160,2022-01-08,Hardware,2,587.99,24.5,887.86,West,Digital
T00023,C1155,2022-01-09,Services,11,333.33,2.1,3589.63,East,Direct
T00024,C1950,2022-01-09,Software,6,1948.65,0.4,11645.13,North,Digital
T00025,C0296,2022-01-09,Consumables,14,1729.82,16.4,20245.81,North,Partner
T00026,C0987,2022-01-10,Software,19,1818.8,15.9,29062.61,West,Digital
T00027,C1799,2022-01-10,Services,1,1539.83,9.5,1393.55,East,Direct
T00028,C0714,2022-01-10,Software,12,139.19,13.8,1439.78,South,Direct
T00029,C1179,2022-01-11,Consumables,18,1259.55,27.6,16414.46,South,Partner
T00030,C1555,2022-01-11,Services,3,769.02,20.3,1838.73,South,Partner
T00031,C1577,2022-01-11,Software,8,675.23,10.3,4845.45,East,Digital
T00032,C1342,2022-01-12,Software,2,505.95,28.0,728.57,East,Digital
T00033,C0126,2022-01-12,Services,3,369.51,4.9,1054.21,East,Direct
T00034,C0084,2022-01-13,Hardware,19,287.5,5.3,5172.99,East,Partner
T00035,C1510,2022-01-13,Hardware,5,251.21,7.0,1168.13,West,Digital
T00036,C1917,2022-01-13,Electronics,4,1426.01,7.0,5304.76,North,Digital
T00037,C0536,2022-01-14,Electronics,18,1861.53,2.1,32803.88,East,Partner
T00038,C1113,2022-01-14,Electronics,6,766.83,9.3,4173.09,West,Direct
T00039,C0143,2022-01-14,Consumables,6,220.98,16.5,1107.11,South,Partner
T00040,C0377,2022-01-15,Electronics,16,450.1,6.7,6719.09,South,Direct
T00041,C0970,2022-01-15,Electronics,15,1496.52,3.2,21729.47,East,Direct
T00042,C0032,2022-01-15,Services,11,703.57,19.5,6230.11,East,Direct
T00043,C1178,2022-01-16,Electronics,17,1329.02,12.6,19746.58,South,Direct
T00044,C1105,2022-01-16,Electronics,5,419.19,19.6,1685.14,North,Direct
